Mv,Hc,Skew,Jdp,File
0.998,5.36007,0.0,0.7,23.0
0.868,4.98109,0.0,0.7,24.0
0.884,4.98208,0.0,0.7,25.0
0.9,4.98183,0.0,0.7,26.0
0.916,4.99216,0.0,0.7,27.0
0.93,4.98052,0.0,0.7,28.0
0.942,5.00186,0.0,0.7,29.0
0.53,4.97519,0.0,0.7,30.0
0.956,4.99939,0.0,0.7,31.0
0.968,5.00813,0.0,0.7,32.0
0.976,5.02353,0.0,0.7,33.0
0.552,4.98147,0.0,0.7,34.0
0.982,5.036,0.0,0.7,35.0
0.99,5.05392,0.0,0.7,36.0
0.994,5.07036,0.0,0.7,37.0
0.996,5.09315,0.0,0.7,38.0
0.996,5.1052,0.0,0.7,39.0
0.998,5.12373,0.0,0.7,40.0
0.998,5.54228,0.0,0.7,41.0
0.564,4.98413,0.0,0.7,42.0
0.998,5.796,0.0,0.7,43.0
0.576,4.99251,0.0,0.7,44.0
0.998,6.07781,0.0,0.7,45.0
0.468,4.98568,0.0,0.75,0.0
0.994,5.10297,0.0,0.75,1.0
0.998,6.13316,0.0,0.75,2.0
